,Kappa,Fleiss,Alpha,Scott
CR,0.92,0.92,0.92,0.92
DR,1.0,1.0,1.0,1.0
SR,0.81,0.81,0.81,0.81
TR,0.66,0.65,0.65,0.65
LRP,1.0,1.0,1.0,1.0
